"Experiment","Site","es.measurement","d","vd","g","vg","r","var.r"
"Allowedforbidden","abington","md",0.862264906029257,0.15342174060571,0.854155831677884,0.150549634240267,0.39340901564789,0.0228161958136683
"Allowedforbidden","brasilia","md",0.669060911185423,0.109627293861809,0.664799376719274,0.1082352153605,0.315818074662448,0.019796856307079
"Allowedforbidden","charles","md",0.350638984256404,0.0964447630392306,0.347422112841207,0.0946832519223623,0.172495597091676,0.0219723924478769
"Allowedforbidden","conncoll","md",0.742248041902138,0.154460069721265,0.73618061921629,0.15194515808855,0.34619839449096,0.0260302480318642
"Allowedforbidden","csun","md",0.536366426489122,0.0911568998229794,0.531981959787576,0.0896726874425193,0.253484233641247,0.0178272354272379
"Allowedforbidden","help","md",0.296414747859191,0.132776901007076,0.294186065544461,0.130787762063841,0.146495635762881,0.0310547895329995
"Allowedforbidden","ithaca","md",1.08151901732067,0.138050112712685,1.07216870881358,0.135673397652736,0.475456896730597,0.015981081400173
"Allowedforbidden","jmu","md",0.880169410347824,0.0861582538195819,0.876234226695002,0.0853895594856734,0.402218994689627,0.0126416980499827
"Allowedforbidden","ku","md",0.6865234310994,0.0480063646420215,0.681831927014438,0.0473524830868962,0.323924533486921,0.00856234234478241
"Allowedforbidden","laurier","md",1.66375137172178,0.127630428187148,1.6523817723706,0.125892009052797,0.636544047232589,0.00660987528518365
"Allowedforbidden","lse","md",0.549872590447191,0.0343353050891013,0.548371573366807,0.0341481070457054,0.265084920359389,0.00689763943807213
"Allowedforbidden","luc","md",1.4034249442353,0.1799941027058,1.39599941542983,0.178094442093833,0.573472467633645,0.0135368455735967
"Allowedforbidden","mcdaniel","md",1.51946496871104,0.341952306631674,1.50756315433471,0.336616331678679,0.604628455598301,0.0217932056030273
"Allowedforbidden","msvu","md",0.571683252353854,0.146880289294102,0.566373500784004,0.144164533578545,0.269435002285628,0.0280607495791617
"Allowedforbidden","mturk","md",0.595419453315126,0.0145420148585094,0.594971432658004,0.0145201389460609,0.285330148486667,0.00281782606303474
"Allowedforbidden","osu","md",0.893421720491589,0.138143560429153,0.887024906263726,0.136172452843328,0.407732057738109,0.0200006358889035
"Allowedforbidden","oxy","md",0.839357740147426,0.375348930311388,0.834056533367547,0.370622653032652,0.386068771055156,0.0575015216577177
"Allowedforbidden","pi","md",0.840969511987697,0.0149361834514327,0.840489049497511,0.0149191216535468,0.387046934453755,0.00228687884416701
"Allowedforbidden","psu","md",0.904993848022295,0.192596222269227,0.897596078147453,0.189460379583956,0.407243537964166,0.0271366375746791
"Allowedforbidden","qccuny","md",1.21498513110783,0.131644005408484,1.20584990455815,0.129671838444086,0.518026800942705,0.0128105647736768
"Allowedforbidden","qccuny2","md",0.964916851576985,0.141380215321779,0.956064403397379,0.138797982620422,0.434129785947703,0.0188477106285093
"Allowedforbidden","sdsu","md",1.00910968437522,0.128994788304165,1.00431201551131,0.127771129243069,0.450435815257454,0.0163303359822215
"Allowedforbidden","swps","md",0.873371187401768,0.121780268800887,0.864836615537907,0.119411827409339,0.398869037347386,0.0179610684722843
"Allowedforbidden","swpson","md",0.543668902722822,0.0577962441027471,0.541208862439009,0.0572743845247427,0.262298094602476,0.0116655861922609
"Allowedforbidden","tamu","md",0.567658935979317,0.0453161777389357,0.56535450186844,0.0449489988783997,0.272954012607252,0.00897442169713434
"Allowedforbidden","tamuc","md",0.550517796951982,0.123070956521952,0.545645958040903,0.120902347765007,0.265241818559834,0.0246906645887378
"Allowedforbidden","tamuon","md",0.909090816310268,0.0587362484458065,0.905959619468786,0.058332332748999,0.411008164875851,0.00829220756508286
"Allowedforbidden","tilburg","md",0.791203566164669,0.103612972319962,0.783471935224949,0.101597857270864,0.367632830210873,0.016731847604705
"Allowedforbidden","ufl","md",0.908953138972701,0.135848325452765,0.903444332069836,0.134206668921123,0.413750969754335,0.0193356803369143
"Allowedforbidden","unipd","md",0.811871973235355,0.046467983378046,0.807514878566829,0.0459705598406163,0.375614251715106,0.00733773709605095
"Allowedforbidden","uva","md",0.612461556203564,0.132657986035784,0.606553566915427,0.130111011954991,0.290707187419523,0.0250491992027333
"Allowedforbidden","vcu","md",1.27243789012455,0.134533278373607,1.26323954393087,0.13259524926259,0.535081095600523,0.0121174939958907
"Allowedforbidden","wisc","md",0.919173740746226,0.13848532436057,0.911820350820256,0.13627842223156,0.416921371616252,0.0194474471273653
"Allowedforbidden","wku","md",0.741396972963857,0.142777899091768,0.735822559633302,0.140638934579398,0.347055558172207,0.024203649404156
"Allowedforbidden","wl","md",Inf,Inf,Inf,Inf,NA,NA
"Allowedforbidden","wpi","md",0.730998841144768,0.100779831353836,0.724529824851452,0.0990040100636319,0.343268073769343,0.0172945282800648
"Anchoring1","abington","md",1.11000182202699,0.068344680108621,1.09734020428523,0.0667943786283274,0.483823300149615,0.00761714208747148
"Anchoring1","brasilia","md",1.21779674806212,0.0667468796127852,1.20488724189892,0.0653392521025654,0.513969310150965,0.00643750014471669
"Anchoring1","charles","md",0.950510333242016,0.0665637412102334,0.939500561042301,0.0650306546407158,0.428893555295028,0.00902520252354123
"Anchoring1","conncoll","md",1.95428378992588,0.0739991516876478,1.93590494550651,0.0726138627855638,0.691915489053514,0.00252031398213134
"Anchoring1","csun","md",1.46046511762104,0.0592854084051181,1.4475406475536,0.0582407520584072,0.585390393788457,0.00411535957123783
"Anchoring1","help","md",1.9296599100667,0.0834405310085534,1.90920415130275,0.0816808504422653,0.684252796975219,0.0029671687902434
"Anchoring1","ithaca","md",1.16108340854545,0.0659325570962862,1.14841704408859,0.0645018750970134,0.501733129056148,0.00689331596832043
"Anchoring1","jmu","md",1.02008877002364,0.0334325981726634,1.01483959968046,0.0330894086754322,0.436225652974647,0.00400841407752096
"Anchoring1","ku","md",1.12540785229165,0.0702010820757553,1.11216775991175,0.068559008322011,0.490396238846733,0.00768930214993719
"Anchoring1","laurier","md",1.94159530885854,0.0884931390423118,1.91910578790651,0.0864549777176391,0.694582401626298,0.0030335644289565
"Anchoring1","lse","md",1.36300810807253,0.0214241855408773,1.3585779625425,0.0212851430598072,0.560158308905589,0.00170395895026011
"Anchoring1","luc","md",1.30720812139315,0.0388372204216252,1.29922110639482,0.0383640810353679,0.547095129788882,0.00333989168200706
"Anchoring1","mcdaniel","md",1.29579450248687,0.058652971892745,1.28375925942972,0.0575685027347822,0.542380546600792,0.00511938744595691
"Anchoring1","msvu","md",1.57013455007534,0.118485589690466,1.54258832989858,0.114364668904063,0.612823796190937,0.00703807994036739
"Anchoring1","mturk","md",1.0731629018114,0.00494314394253165,1.07229159228354,0.00493512044496166,0.472745657528915,0.000578392807477229
"Anchoring1","osu","md",1.55096853567348,0.0567373652549311,1.53800779582105,0.0557930705297829,0.611995053034665,0.00345589825270392
"Anchoring1","oxy","md",0.988511378533114,0.040060568959432,0.981817170552077,0.0395198250719547,0.441395546427045,0.00517827130734377
"Anchoring1","pi","md",1.03505250077312,0.00379610875654986,1.03440220600824,0.00379134027538338,0.459419659795792,0.000465493819583618
"Anchoring1","psu","md",1.77672215622284,0.0697609046710469,1.75958335728822,0.0684215264597573,0.66402733977831,0.00304560642731137
"Anchoring1","qccuny","md",1.00648616663184,0.0501602674960651,0.997883720763189,0.0493064913015598,0.449175098489059,0.00636567443587639
"Anchoring1","qccuny2","md",1.81725180594166,0.0761285816205423,1.79851725124123,0.0745670111823699,0.669809422349996,0.00314400473917971
"Anchoring1","sdsu","md",0.925172634326693,0.031323298632396,0.920207486020826,0.0309879936572923,0.418982850303741,0.00436663231618603
"Anchoring1","swps","md",1.42218524217992,0.105115752094241,1.39984725408286,0.101839619035083,0.568097786006005,0.00769340869480289
"Anchoring1","swpson","md",0.824424962696756,0.0397561053899282,0.818686505879842,0.0392045822844871,0.379753652341517,0.00617784519438006
"Anchoring1","tamu","md",1.28431458549652,0.0296005063455256,1.27832244901675,0.0293249406798113,0.540333640274399,0.00262660863695993
"Anchoring1","tamuc","md",1.25455465378553,0.059868190664308,1.24245284040496,0.0587187481434116,0.531266312556182,0.00553089366017925
"Anchoring1","tamuon","md",1.15219971002739,0.0252344168732639,1.14749685406809,0.0250288420319307,0.497795984083038,0.00266505522973511
"Anchoring1","tilburg","md",1.00649133294336,0.071369410401241,0.99270378043729,0.0694274767348534,0.437676794231384,0.0088205082310834
"Anchoring1","ufl","md",1.40549003967985,0.0439733208265252,1.39614088198797,0.0433902556190329,0.571666578368923,0.00329688718138234
"Anchoring1","unipd","md",1.14201465936362,0.0470942209461643,1.13316183254685,0.046366907997233,0.495385706403585,0.00504587803704934
"Anchoring1","uva","md",0.788851538825033,0.0560678500809661,0.780936640442173,0.0549483870727836,0.366675036456063,0.0090754835513615
"Anchoring1","vcu","md",1.26198141669983,0.0533583766322863,1.25131678500941,0.0524603554711113,0.530829816940745,0.00486992127235797
"Anchoring1","wisc","md",1.16818417314518,0.0547622644084725,1.15796681886111,0.0538085131672978,0.498051731031223,0.00562832559035716
"Anchoring1","wku","md",1.18314301146464,0.0566359286382414,1.17228848842368,0.0556015042198845,0.506462235049127,0.00573679000283569
"Anchoring1","wl","md",0.923019238215023,0.0563954038469503,0.914228578803451,0.0553263209078109,0.413034235182819,0.00776828619478921
"Anchoring1","wpi","md",1.17920130147427,0.0596372831745168,1.16767816172045,0.0584774285335244,0.507137470643861,0.00608626263750502
"Anchoring2","abington","md",2.90727266799527,0.109767032525952,2.87730078482006,0.107515460916057,0.823664534447157,0.000911109065086091
"Anchoring2","brasilia","md",2.34425829093042,0.116423023656205,2.31272118387755,0.113311635966143,0.760565460239381,0.00217760500111466
"Anchoring2","charles","md",1.59092268352152,0.0828223263949005,1.57190767136787,0.0808543414008025,0.6169811981492,0.00477796828964727
"Anchoring2","conncoll","md",2.04668542946461,0.0781341105588637,2.02642121729169,0.0765945599047776,0.715216871332947,0.00227656771058481
"Anchoring2","csun","md",2.50050995467764,0.0828636629851277,2.47811732821784,0.0813861830151278,0.780930957098713,0.00123023596155573
"Anchoring2","help","md",2.78840378254813,0.096658978850034,2.76218054948341,0.0948494903946403,0.811267177656013,0.000956133623650901
"Anchoring2","ithaca","md",2.87255767707031,0.102366073344248,2.84484811748443,0.100400690457385,0.818559295307904,0.000904988788104726
"Anchoring2","jmu","md",2.14439476721532,0.0409215251998127,2.13379644052398,0.040518028647913,0.731184538941741,0.00103036607443521
"Anchoring2","ku","md",2.00540165541562,0.0815849795676643,1.98443926877365,0.0798882845731954,0.706894356965562,0.00253733695768583
"Anchoring2","laurier","md",1.57783511188843,0.053535188641027,1.56547609012429,0.0526998018921957,0.619295760889845,0.00313429667911081
"Anchoring2","lse","md",1.94487189487932,0.0271796431648046,1.93826417609717,0.026995270764144,0.689674190273103,0.000939704771896658
"Anchoring2","luc","md",1.69760515833555,0.0445978003016699,1.68697297571549,0.0440409133552903,0.647118277229506,0.00218935053320586
"Anchoring2","mcdaniel","md",1.79096751185891,0.0669558944616651,1.7745366172547,0.0657329814831127,0.666156560222238,0.00286604712238085
"Anchoring2","msvu","md",1.86201982536629,0.0776389260371645,1.84255620349835,0.0760242957721174,0.68087469828645,0.00298702230889315
"Anchoring2","mturk","md",1.67524917044865,0.00619658174140982,1.67380457501567,0.0061858995165752,0.642114871269574,0.000314422190892045
"Anchoring2","osu","md",2.47935268029367,0.0757381106641197,2.45908549217138,0.0745049462877682,0.776582823510756,0.00117062406446909
"Anchoring2","oxy","md",1.48083679350428,0.0470082241432722,1.47043278792931,0.0463500074238377,0.593745458872902,0.00316806753972502
"Anchoring2","pi","md",1.35630669711847,0.0044384889801618,1.3553908924614,0.0044324970956201,0.560293634126721,0.000356524097770132
"Anchoring2","psu","md",2.28857522774394,0.0780314961813,2.26783285407858,0.0766234379493522,0.752419299725285,0.00158770214434016
"Anchoring2","qccuny","md",2.00668465352258,0.0729485400431815,1.98827470257284,0.0716161746539574,0.70329642720779,0.00228855414063586
"Anchoring2","qccuny2","md",2.13720486754132,0.0928707139390555,2.1128261047937,0.0907640744015404,0.7288218773992,0.00237377239447796
"Anchoring2","sdsu","md",2.04978970307907,0.0406721260894966,2.03938467920557,0.0402602591113943,0.715746138091516,0.0011795465789135
"Anchoring2","swps","md",3.14702858729983,0.147851721699079,3.10752613641322,0.144163258552055,0.837535673686375,0.000933295614397035
"Anchoring2","swpson","md",1.82629104009344,0.0453783292187523,1.81522260954742,0.0448299556535376,0.672023982576897,0.0018477671828089
"Anchoring2","tamu","md",2.14624932492341,0.0393678135960704,2.13610956433322,0.0389967129463621,0.730109230457587,0.000993298410046625
"Anchoring2","tamuc","md",2.47378945926319,0.0980959159370781,2.44718957260444,0.0959976682265498,0.777524452748565,0.00151547684439383
"Anchoring2","tamuon","md",1.61531472326108,0.0268240477322989,1.60912577796123,0.026618893244424,0.628009985816171,0.00148703024242303
"Anchoring2","tilburg","md",1.48396865626028,0.118680139268511,1.45665634970334,0.114351746971052,0.595768273246546,0.00795946323108386
"Anchoring2","ufl","md",2.6044469727012,0.0631244201179304,2.58757150635541,0.0623090432709677,0.791035180092579,0.000815666351011491
"Anchoring2","unipd","md",1.38183638969739,0.0644261946107408,1.36797181053655,0.0631398470600404,0.568144693294644,0.00499477495322002
"Anchoring2","uva","md",2.12065964441861,0.084093869628992,2.0987971738576,0.0823689130089053,0.725011255893867,0.00221169681825587
"Anchoring2","vcu","md",2.0153103447827,0.0603073789289408,1.99984760556442,0.059385496258387,0.709797813610034,0.00184181826206095
"Anchoring2","wisc","md",1.97981666402719,0.0685866646052737,1.96250048329226,0.0673921446707549,0.70016944252656,0.00222911377483684
"Anchoring2","wku","md",2.59015638159262,0.0861544139762324,2.5669609513097,0.0846182590876921,0.789486111273128,0.00113588070388858
"Anchoring2","wl","md",1.36607506678698,0.0688495135865915,1.35159370565496,0.0673975435476629,0.559608637262584,0.00545041302163747
"Anchoring2","wpi","md",1.69510770427108,0.0710393298425054,1.67809993466301,0.0696209429814091,0.645002300936502,0.00350760664349656
"Anchoring3","abington","md",2.52673378462649,0.0986158729654751,2.49994862083186,0.0965361590292455,0.783840445706192,0.00141105542475758
"Anchoring3","brasilia","md",2.50541965807103,0.0952741652473303,2.47994081409065,0.0933462387319549,0.777668213606092,0.00143386219941181
"Anchoring3","charles","md",0.785976446937861,0.0519772535627719,0.778676356099428,0.0510162156718443,0.365551005529924,0.00843916560923231
"Anchoring3","conncoll","md",2.07836917568914,0.0740156372387006,2.05930156857273,0.0726637818998572,0.718084005335091,0.00207279726158166
"Anchoring3","csun","md",2.06375256588912,0.0756311989654145,2.04570225190176,0.0743139899225826,0.696281242765745,0.00228504139581558
"Anchoring3","help","md",2.62196078196887,0.115142677492181,2.59062260529195,0.112406711583612,0.793382826482163,0.00144753268229841
"Anchoring3","ithaca","md",3.62172878780997,0.127273400775485,3.58809043993558,0.124920168308042,0.875259335172867,0.000406741121948417
"Anchoring3","jmu","md",2.57676797855132,0.0458950147631956,2.56459427156604,0.045462385459172,0.787411196473202,0.000618796401382775
"Anchoring3","ku","md",1.77000724173186,0.0743049743240248,1.75175974439441,0.0727808102210876,0.662439370250568,0.00327759494332923
"Anchoring3","laurier","md",2.963991274013,0.0995382678452145,2.93712730476213,0.0977421254630713,0.826738824850777,0.000775761698794425
"Anchoring3","lse","md",2.731875767399,0.0297450150645548,2.72392656536002,0.0295721630426521,0.806805182155561,0.000316113658143088
"Anchoring3","luc","md",2.5344615804376,0.0530339190469074,2.52024964634169,0.052440813710654,0.78498434595746,0.000749399280768714
"Anchoring3","mcdaniel","md",2.24429741849233,0.0744519180074888,2.22466799500698,0.0731552475725735,0.745198336533876,0.0016231285720502
"Anchoring3","msvu","md",4.54468096376515,0.298569998259535,4.47177164349084,0.289067055422655,0.909719025378714,0.000355619318330372
"Anchoring3","mturk","md",2.33279901148437,0.00714895791646545,2.33093525728079,0.00713753937775813,0.758934066252039,0.000136040116536438
"Anchoring3","osu","md",2.55265174885667,0.0780481506468884,2.53155545341158,0.0767634293637861,0.787147446045723,0.00107391562307821
"Anchoring3","oxy","md",2.11643256509831,0.0592825012214484,2.10127910997827,0.0584366261947641,0.722417307114275,0.00157890304678817
"Anchoring3","pi","md",1.96700876826274,0.00492962480560678,1.96578117801835,0.00492347366783958,0.70117047420401,0.000161879255621278
"Anchoring3","psu","md",3.60170058616331,0.120536231004722,3.56982712964859,0.118412286140123,0.874241002161754,0.000394542454157824
"Anchoring3","qccuny","md",3.24864305362243,0.0997559503184379,3.22179476392307,0.0981139051011206,0.851547069093041,0.000517844302643077
"Anchoring3","qccuny2","md",2.69554462179337,0.0991383788035356,2.6684990235814,0.0971589601598481,0.803062602733911,0.00110949555134794
"Anchoring3","sdsu","md",2.86523155696998,0.054424733671394,2.85058812482193,0.0538698547084356,0.819841085749253,0.000478977002577263
"Anchoring3","swps","md",1.94676273939629,0.118424862625016,1.91854878665141,0.115017131858449,0.676143329899116,0.00420942110053432
"Anchoring3","swpson","md",0.660289577209023,0.0306628916294672,0.656641568495161,0.0303250111045065,0.3130259125512,0.00560702006863969
"Anchoring3","tamu","md",2.42718182086675,0.0398942913037342,2.41670477703567,0.0395506234892011,0.76881183171136,0.000669330672353442
"Anchoring3","tamuc","md",3.1722385804199,0.114724082940788,3.14123950634413,0.112492873654425,0.844961912564865,0.000665960990080233
"Anchoring3","tamuon","md",1.75911572170813,0.0273268035946342,1.75254368289726,0.0271229996798523,0.660436254922296,0.00122447203757229
"Anchoring3","tilburg","md",1.73559635975658,0.102828360622023,1.7148521801579,0.100385001693575,0.606466789406069,0.00501805918113383
"Anchoring3","ufl","md",2.65017460698614,0.0631260101649813,2.63314993071,0.0623175744053108,0.798198007309251,0.000754061152333159
"Anchoring3","unipd","md",1.02815756232518,0.0447781751201924,1.02042705433778,0.0441073505169446,0.455457689857228,0.00551957385778655
"Anchoring3","uva","md",2.33305840604489,0.0887719456713462,2.3093323883563,0.086975595239548,0.758212227954769,0.00169440546707798
"Anchoring3","vcu","md",3.84944982478558,0.11410732617027,3.81991440413505,0.112363036027872,0.887340728813926,0.000274114199599556
"Anchoring3","wisc","md",2.73603329063727,0.0851350671943459,2.71291188254738,0.0837022445201209,0.807155132301909,0.000899884548747607
"Anchoring3","wku","md",2.82533747769468,0.0819729946277613,2.80320689692945,0.0806938517833562,0.814769307580476,0.000770314749097553
"Anchoring3","wl","md",2.53661336487742,0.0840218112576539,2.51389742429643,0.0825236812124183,0.78494636981106,0.00118551582927902
"Anchoring3","wpi","md",2.29879937174355,0.0816541361129265,2.27744829398741,0.0801443849549375,0.749007891867519,0.00167052318278736
"Anchoring4","abington","md",2.00176609169714,0.0845841536094934,1.98112932786521,0.0828491401493348,0.692849869940489,0.00273954807965885
"Anchoring4","brasilia","md",2.00008510890905,0.0769589974408619,1.98028228604856,0.0754426011575943,0.707005556678109,0.00240545225111276
"Anchoring4","charles","md",2.14726452378449,0.0872206886634215,2.12450200233095,0.0853812882070228,0.729144873754182,0.00220603779763386
"Anchoring4","conncoll","md",2.71880450476222,0.0929789843076594,2.69386134416807,0.0912807737534332,0.801516247022856,0.00103318903560167
"Anchoring4","csun","md",2.06799592281517,0.0731020527177141,2.04902348315632,0.0717668835030231,0.71872704849464,0.0020636115923829
"Anchoring4","help","md",2.74704864047336,0.0916120824170844,2.72215091865639,0.0899589660076086,0.807949712171731,0.000955413415970425
"Anchoring4","ithaca","md",3.18272264286244,0.104199887953113,3.15455695575746,0.102363802528299,0.846688850450938,0.000591088187397929
"Anchoring4","jmu","md",2.29573025702285,0.0420111015342011,2.28467537617042,0.0416074743957471,0.753897093361716,0.000844088907853835
"Anchoring4","ku","md",2.28679259705992,0.0729507660966323,2.26746758919744,0.0717230051373706,0.751761536051665,0.00149081799779447
"Anchoring4","laurier","md",2.41846295871263,0.0700475825646676,2.39971518383889,0.0689657828699906,0.77022706148447,0.00117545910921213
"Anchoring4","lse","md",2.41997603874337,0.0280515472792731,2.412560381832,0.0278798910951231,0.770799561855224,0.000468799679908874
"Anchoring4","luc","md",2.61354475149943,0.0585376716318569,2.59820104454346,0.0578523584545231,0.787112113927983,0.000768518367638471
"Anchoring4","mcdaniel","md",2.50610038001584,0.0859952725082273,2.48310863341019,0.0844246156498581,0.778462026899867,0.00128806585279111
"Anchoring4","msvu","md",2.40283967411822,0.08677610746054,2.37995548674567,0.0851311000719457,0.763068377403032,0.00152708024256463
"Anchoring4","mturk","md",2.3334620246952,0.00723894059154766,2.33157360115215,0.00722722867663928,0.759175747584509,0.000137523554535521
"Anchoring4","osu","md",2.42923870658733,0.0747426116288294,2.40916235364032,0.0735123015815274,0.771997896157324,0.00123215184072443
"Anchoring4","oxy","md",2.30163703382063,0.0599017224599278,2.28576367496669,0.059078340876531,0.754823458876183,0.00119256238130766
"Anchoring4","pi","md",2.19368241153635,0.00547138198552319,2.1922830819096,0.00546440392439583,0.737339572631943,0.000128719200233801
"Anchoring4","psu","md",3.5159655417869,0.121310687554849,3.48370897718335,0.119095013857399,0.868971671050086,0.000444382474286806
"Anchoring4","qccuny","md",3.02060863769769,0.0942214359798652,2.99508236751997,0.0926356897730547,0.833412033171888,0.000669094935459569
"Anchoring4","qccuny2","md",2.4915682034863,0.100258984894042,2.46552393655091,0.0981739329798086,0.768069463697779,0.0016021134006026
"Anchoring4","sdsu","md",2.84697767180018,0.0576915421073802,2.83180727568047,0.0570783502641407,0.811683689510889,0.000545831111807521
"Anchoring4","swps","md",2.98431929934185,0.128132686527278,2.94920966052606,0.125135534413353,0.830586539547323,0.000954586944970001
"Anchoring4","swpson","md",2.30223017222972,0.0482137344009474,2.28951066851574,0.0476824576353193,0.754783835590961,0.000959541826665557
"Anchoring4","tamu","md",2.46622396787895,0.0436956437453051,2.45471747969289,0.043288859516112,0.773589266813587,0.000693256756174101
"Anchoring4","tamuc","md",2.68759279831486,0.101513533295897,2.66062698428495,0.0994866917959898,0.795016387005374,0.00120260855905132
"Anchoring4","tamuon","md",2.43581311279437,0.0333861429250795,2.42697703136948,0.0331443611525447,0.772426080110524,0.000546227324584588
"Anchoring4","tilburg","md",2.50048104101809,0.114100782675257,2.47106361700611,0.111431850872888,0.765965220416389,0.0018288778024651
"Anchoring4","ufl","md",3.88450871891126,0.102234963040084,3.85820279079223,0.100854979360712,0.888895339280545,0.000235781022293017
"Anchoring4","unipd","md",2.17816070522113,0.0630727985147309,2.1621054666077,0.0621464052447061,0.728821745119303,0.00155208343067174
"Anchoring4","uva","md",3.10569240012253,0.118414722673746,3.07367495269858,0.115985767261265,0.838954598508789,0.000757886921231458
"Anchoring4","vcu","md",2.94562784646504,0.0864997108734001,2.92231153105767,0.0851357420544121,0.82562639964076,0.000688670260113319
"Anchoring4","wisc","md",3.20780229141894,0.104132723401851,3.17974571161061,0.102319125749084,0.848023420546978,0.000574058307762757
"Anchoring4","wku","md",3.22327754969183,0.103513836056854,3.19603858448317,0.101771698812049,0.843151180967274,0.000591968129506485
"Anchoring4","wl","md",2.3662439311775,0.0827839538949546,2.3442664333647,0.0812533128741132,0.760908225429758,0.00151738019635612
"Anchoring4","wpi","md",2.01290849202161,0.07582880423788,1.99349136830436,0.0743729250651073,0.707604528567227,0.00233605589874857
"Flagpriming","abington","md",0.0675717426103825,0.048395804033355,0.0669441412858279,0.0475009856608954,0.0337053497471606,0.0120140054696975
"Flagpriming","brasilia","md",-0.00254996090414583,0.0333704386613286,-0.00253371911494745,0.0329466913571379,-0.00127427089817357,0.00833329950491224
"Flagpriming","charles","md",-0.0300397104779217,0.0499162447748423,-0.0297641168038123,0.0490045517257605,-0.0146693807647434,0.0118983585211794
"Flagpriming","conncoll","md",-0.45106401201288,0.0441225203963205,-0.447376840252556,0.0434041195823777,-0.218817588004816,0.0094130582792609
"Flagpriming","csun","md",-0.0661951201526536,0.0425764989038937,-0.065654015628245,0.0418832703395994,-0.0330794466207487,0.0106092209535983
"Flagpriming","help","md",-0.115328978238496,0.0398312817400781,-0.11446184306377,0.039234566851666,-0.0571703774617747,0.00972402174462594
"Flagpriming","ithaca","md",-0.171606724092714,0.0451603874655397,-0.170123092472316,0.0443828917366817,-0.0854410176023899,0.011032089569062
"Flagpriming","jmu","md",0.0435436644344162,0.0233117448376573,0.0433512771099637,0.0231062051074271,0.021743128118233,0.0058070845227159
"Flagpriming","ku","md",0.143439512709727,0.0364691836202359,0.142441093827756,0.0359632588772094,0.0715242469919792,0.00897511799481248
"Flagpriming","laurier","md",0.0430059819198421,0.036117634984957,0.0427093889410846,0.0356211785516323,0.0214762100709054,0.00899862483256949
